,A
115,"민족대표 48인은 1919년 3·1 운동 때 기미독립선언서의 기초와 서명, 인쇄 및 배포, 탑골공원 만세 시위 등 3·1 운동의 기획과 실행에 참가한 핵심 인사 48명이다. 보통 민족대표 33인 외에도 3·1 운동의 계획과 조직에 가담하거나 연락한 인물들을 추가하여 설정한다. 이는 출국이나 교통편 등으로 미처 연락이 닿지 못한 민족대표 독립운동가들의 존재를 고려한 의견이기도 하다. 본래는 이 사건으로 일본 제국 법정에서 재판을 받은 48명, 즉 독립선언서에 서명한 민족대표 33인 가운데 3·1 운동 직후 해외로 망명하여 체포되지 않은 김병조와 재판 판결이 내려지기 전에 구금 중 사망한 양한묵을 제외한 31인에 박인호 등 17인을 더한 인원을 가리키나, 편의상 민족대표 33인에 15~16인만 더해서 민족대표 48인, 중앙지도체 48인이라는 표현을 사용하는 경우도 있다. 이들 가운데 최남선과 현상윤이 추후 친일 행위로 민족문제연구소가 발표한 민족문제연구소의 친일인명사전 수록예정자 명단에 오르는 등 친일파로 불리는 경우도 있다."
116,"CA 반피엘드 (Club Atlético Banfield)는 아르헨티나의 수도 부에노스아이레스에서 남쪽으로 14 km 떨어진 곳에 있는 작은 마을 반피엘드를 연고로 하는 스포츠 클럽이다. 1865년부터 1872년까지 영국계 철도 회사인 '부에노스아이레스 그레이트 서던 레일웨이'(Buenos Aires Great Southern Railway)의 경영자였던 에드워드 반필드(Edward Banfield)가 1896년 설립했다. 반피엘드는 축구팀을 비롯해 풋살, 배구, 필드하키, 체조, 체스, 태권도, 테니스 등 여러 종목의 팀을 운영하고 있다. 물론, 축구팀으로 가장 유명하다. 반피엘드는 엘 탈라드로(El Taladro, 드릴)라는 별명으로 종종 불리곤 하는데, 1930년대에 엘 팜페로(El Pampero)라는 신문에서 반피엘드의 공격수들이 상대편 수비들을 드릴로 뚫는 것 같다고 묘사한 데에서 유래한 것이다. 반피엘드는 전통적으로 그란 부에노스아이레스 남부 수도권 지역에서 많은 지지자를 거느린 클럽이며, 로마스데사모라 파르티도에서 가장 큰 축구팀이기도 하다."
117,"제19비행연대(스웨덴어: Flygflottilj 19) 또는 스웨덴 의용비행연대(스웨덴어: Svenska frivilligflottiljen)는 겨울전쟁 당시 핀란드 공군의 공격기-전투기 혼성연대이다. 스웨덴|| 의용병들로 이루어져 있었으며 핀란드 북부 케미 일대에서 겨울전쟁 마지막 62일간 활동했다. 번호 19번은 당시 스웨덴 공군의 비행연대가 18개 있었기에 그 다음 번호로 매겨진 것이다. 이후 스웨덴 공군에서 19번은 결번이 되었고 그 다음 비행연대들은 20, 21, 22비행연대로 명명되었다. 스웨덴 의용비행연대는 라플란드 일대의 방어에 기여했다. 글로스터 글래디에이터 2형 12기, 호커 하르트 5기, 그 외 항공기 8기를 동원하여 소련군 항공기 12기를 파괴했다(8기는 공중전, 4기는 지상공격). 자기 손실은 항공기 6기였고 그 중 적에게 격추된 것이 2기, 나머지 4기는 사고로 소실되었다."
118,"대천사(大天使, 라틴어: Archangelus)는 능력이 뛰어나거나 높은 지위에 있는 천사들을 일컫는 말이다. 대천사들은 이슬람교, 유대교, 조로아스터교를 포함한 수많은 종교의 전통에서 볼 수 있다. 기독교의 성경에서 확실하게 이름이 밝혀진 대천사는 미카엘뿐이다; 가브리엘은 루카 복음서에 지명되었으며 일반적으로 대천사로 취급받는다; 라파엘은 제2 경전인 토빗기에서 언급되며, 우리엘은 외경인 에녹서에서 언급된다. 대천사라는 말은 그리스어의 αρχ- arch-(첫 번째, 주요한, 우두머리 또는 가장 높은)와 άγγελος angelos(심부름꾼)를 합친 αρχάγγελος archangelos에서 유래한 것이다. 천사들 중에서도 신(야훼)의 뜻을 체현하는 특별한 이들을 대천사라는 명칭으로 부른다. 유대교의 경전에서 딱히 '대천사'를 의미하는 단어는 나오지 않지만 세월이 지나면서 유대교, 기독교, 이슬람교 모두 '대천사'라는 개념을 받아들였다. 그러나 이러한 대천사들의 정확한 계급은 명확히 정의되어 있지 않으며 그 숫자도 일정하지 않다."
119,"남제주군과 북제주군은 2006년 7월 1일 제주특별자치도의 출범과 함께 서귀포시와 제주시로 각각 통합되었다. 자치행정구역은 폐지되었으며 제주시와 서귀포시 2개의 행정시만 존재한다. 하위 행정구역은 7읍 5면(면 (행정 구역)) 31동(행정동)이다. 2014년 4월말 기준 제주특별자치도의 인구는 240,259세대, 608,313명이다. 주민등록 인구는 남성 299,643명, 여성 298,372명이다. 등록 외국인은 8,074명이다. 제주특별자치도는 3명의 국회의원이 있다."
120,"이 중요성 때문에 한국은행은 불량거래자에 대한 제재를 강화하기 위해 은행에 대손 및 대지급을 초래하게 한 거래자의 경우, 거래정지 처분기간을 2년을 정하고 있다. 또, 분실하였거나 도난당했을 경우 거래은행에 사고 신고를 하면 그 사고수표에 대해 지급거절을 하게 된다. 수표를 발행하여 분실이나 도난당했다고 거짓 신고하는 등의 악용사례를 방지하기 위해 사고수표의 해당금액을 사고 신고 시 은행에 예탁하도록 하고, 사고 후 15일까지 해당경찰관서에 발행 사고관계 증빙서류를 제출하도록 하고 있다. 여행자수표(旅行者手票, TIC：Traveller's Cheque)는 해외여행자가 여행 중에 현금 대신 사용할 수 있는 수표이다. 주로 해외여행자의 여비 휴대의 편의를 도모하고, 현금을 지참함으로써 생기는 위험을 방지하기 위하여 사용하는 수표이다. 보통 은행이 발행하는 자행급(自行給)의 수표형식을 취하며 현금과 똑같이 취급되지만, 본인 이외에는 사용하지 못한다. 수표면의 정해진 난(欄)에 미리 사인을 해 두고, 사용할 상대 앞에서 다시 사인(카운터 사인)을 하여 정당한 소지인이라는 것을 증명하면 효력이 발생한다."
121,"루소포니아 경기대회(포르투갈어: Jogos da Lusofonia, Lusophony Games)는 포르투갈어권 올림픽 위원회 연합(ACOLOP, Associação dos Comités Olímpicos de Língua Oficial Portuguesa)에서 조직한 국제 종합 스포츠 경기대회이다. 이 대회는 4년마다 개최되며, 포르투갈어를 사용하는 국가나 지역의 선수들이 육상, 축구, 태권도 등의 스포츠 부문에서 경쟁을 한다. 루소포니아 경기대회의 설립 회원국은 포르투갈, 브라질, 앙골라, 카보베르데, 동티모르, 기니비사우, 마카오 (중국), 모잠비크, 상투메 프린시페의 9개국이고, 준회원국은 적도 기니, 인도, 스리랑카의 3개국이다. 가나, 갈리시아 (스페인), 플로레스 (인도네시아)에서도 대회참가 의사를 피력하였다. 모리셔스, 모로코, 세네갈도 대회참가를 타진하고 있다. 루소포니아 경기대회는 동일 언어권 국가들이 참가하는 대회로서 영연방 경기 대회(Commonwealth Games)나 프랑코포니 경기 대회(Francophone Games)와 개념적으로 유사한 대회이다."
122,"사람의 목소리의 성구(聲區)는 같은 곳에서 발성이 일어나므로 음색이 같은 구역을 말한다. 음계를 아래에서 위로 불러 올라가면 어느 높이에서 갑자기 소리가 잘 안 나오게 되기도 하고 음빛깔이 돌변하는 것을 경험한다. 이 목소리의 음빛깔이 변하는 부분을 환성구(換聲句)라고 하며, 환성구보다 아래인 소리를 흉성, 위의 소리를 두성이라 한다. 사람의 목소리는 일반적으로 위에서 말한 2개의 성구를 가진 것으로 생각되며, 환성구는 남성·여성을 불문하고 절대음(實音)이어서 1점 E와 F 사이에 있다. 이것은 바리톤이나 베이스로는 소리넓이(聲域)의 최상단이 되고, 테너로는 상반역이지만 소프라노나 알토 등 여성(女聲)에서는 하반역에서 최하단이 된다. 또 여성은 다시 옥타브상에 환성구가 인정되기 때문에 중간의 성구를 중성구라고 하는 경우도 있다. 이 최고 성구는 소질을 타고난 사람이 웬만큼 훈련을 하지 않고는 아름답게 발성하지 못한다."
123,"그의 아버지는 유대인이며, 어머니는 독일계와 네덜란드계 조상을 둔 기독교인 출신이다. 에즈라는 스스로를 ""영적으로"" 유대인이라고 생각한다. 에즈라는 만 6살 때 언어 장애를 극복하기 위해 오페라 가수 훈련을 시작했다. 그는 메트로폴리탄 오페라와 함께 노래를 불렀으며, 필립 글래스의 오페라 《화이트 레이븐》의 미국 초연에서 공연하였다. 로클랜드 컨트리 데이 스쿨과 허드슨 스쿨에 다녔으며, 영화 《애프터스쿨》 개봉 이후 자퇴하였다. 밀러는 2008년 안토니오 캠포스 감독의 영화 《애프터스쿨》에서 기숙 학교의 10대 청소년으로 출연하여 배우 경력을 시작했다. 이후, 밀러는 앤디 가르시아, 줄리아나 마걸리스, 스티븐 스트레이트와 함께 《시티 아일랜드》에 출연하였고, 트리베카 영화제에서 초연 된 두 작품 《곤조는 못말려》와 《에브리 데이》에 공동 주연으로 출연하였다."
124,"박윤웅은 신학성의 경영과 북구 달천동에 있었던 달천광산에서 생산되는 철 등을 군사적 기반으로, 무역항이던 울산지역의 무역이윤을 경제적 기반으로 울산 일대에서 가장 강력한 호족세력으로 성장하였다. 박윤웅은 신라가 멸망하기 6년전인 930년에 그의 부하 최환(崔奐)을 보내 고려에 항복한다. 이로써 울산지역의 신라시대는 끝나고 고려시대로 접어든다. 삼국시대 울산에는 왜적(일본)의 침입이 잦아 왜적(일본)을 막기 위한 계변성, 관문성, 온산산성, 효문산성, 함월산성 등이 축조된 군사적 요충지였다. 이에 불교의 힘으로 국가를 수호한다는 호국 불교의 영향을 많이 받아 태화사, 청송사, 동축사, 신흥사, 영취사, 망해사, 석남사, 간월사, 운흥사 등 많은 사찰이 건립되었고, 이에 따른 불교발전과 건축 토목기술의 향상을 경험하였다. 고려가 건국되고, 박윤웅은 공신으로 책봉되었고, 울산지역의 행정도 변화하였다. 이에 대해 고려사에는 하곡현이 고려초에 울주(蔚州)로 승격하고, 1018년에 방어사를 두었다는것과, 하곡·동진·우풍 3개현을 병합하여 흥례부(興禮府)를 두었다가 뒤에 공화현(恭化縣)으로 강등시켰고, 다시 지울주사(知蔚州事)로 고쳤다는 두가지 기록이 있다."
125,"시슬리 메리 바커(Cicely Mary Barker, 1895년 6월 28일 ~ 1973년 2월 16일)는 요정과 꽃을 그린 그림으로 잘 알려진 영국의 일러스트레이터이다. 청소년기부터 크로이던 예술 대학에서 공부를 시작했다. 인사장과 10대 잡지 일러스트로 프로 작업을 시작했으며, 1923년 첫 책 Flower Fairies of the Spring을 출판한 이후 계속해서 그림을 그려 나갔다. 평생 독실한 성공회 신자였던 그녀는 기독교계 기금 모금자들과 선교 단체에 그녀의 작품을 기부했다. The Children’s Book of Hymns와 누나 도로시와 같이 작업한 He Leadeth Me 등의 기독교를 주제로 한 책들도 펴냈다. 또한 피트레이크에 있는 세인트 에드문드 교회의 스테인드 글라스창을 디자인했고, 메리 여왕은 그녀가 그린 아기 예수 그림 The Darling of the World Has Come을 사기도 했다. 수채화를 비롯해 펜화, 유화, 파스텔화에 모두 뛰어났다."
126,"마이크로소프트 윈도우에서 제어판(문화어: 조종판)은 그래픽 사용자 인터페이스의 일부이며, 새 하드웨어 추가, 프로그램 추가 및 제거(프로그램 및 기능), 사용자 계정 관리, 접근성 옵션의 변경과 같이 기본적인 시스템 설정과 상태를 보고 필요하면 사용자가 설정을 바꿀 수 있도록 해 준다. 제어판은 윈도우의 첫 버전인 윈도우 1.0부터 추가된 마이크로소프트 윈도우 고유의 부분으로 많은 수의 애플릿이 뒤에 발표된 버전마다 추가되었으며, 기본적인 부분 말고도 외부 소프트웨어에 의해 애플릿이 추가되기도 한다. 제어판은 독립적인 프로그램으로, 폴더로 보이지 않고, 윈도우 XP와 윈도우 비스타의 경우 시작 메뉴를 통해 접근할 수 있으며, SYSTEM32 디렉터리에 있는 control.exe라는 파일 이름으로 보관되어 있다. 최근 버전의 윈도우에서는, 종류별 보기와 클래식 보기 두 가지 보기 형태가 있으며 제어판 창의 왼쪽 부분에 나타나는 옵션을 통해 보기 형태를 바꿀 수 있으며 이와 별도로 제어판의 구성 요소는 다른 방식으로도 접근할 수 있다. 이를테면, 디스플레이 설정은 바탕 화면에서 마우스 오른쪽 단추를 눌러서 나타나는 메뉴에서 '등록 정보'(윈도우98/ME) 또는 '속성'(윈도우XP) 또는 '개인 설정'(윈도우 비스타)을 선택함으로써 접근할 수 있다."
127,"신궁 미사일(KP-SAM)은 대한민국의 개인 휴대용 단거리 지대공 미사일이다. 1995년부터 대한민국의 국방과학연구소가 주관하고 LIG넥스원에서 개발하여, 총 개발비 700억 원과 연인원 1000여 명이 투입되어 국산화율 90%를 달성하였다. 2007년 4월, 삼성탈레스에서 신궁 야간조준기를 개발했다. 동급인 미국의 FIM-92 스팅어, 러시아의 이글라의 명중률이 60% 정도이다. 프랑스의 미스트랄 미사일과 같은 수준의 명중률 90%대를 자랑하면서도 미스트랄보다 약 6kg 더 가볍다. 가격도 약 1억 8천만 원으로 2억 3천만 원인 미스트랄 보다 약 5천만 원가량 저렴하다. 또한 신궁은 대적외선 방해대응능력(IRCCM)도 있다."
128,"2010년 10월 25일, SM 엔터테인먼트는 공식 홈페이지를 통해 샤이니의 첫 번째 콘서트 일정을 공개하였다.[1] 당초 KBS 88체육관에서 개최될 예정이었으나 팬덤 규모를 고려하여 올림픽공원 체조경기장으로 변경하였으며 일정도 이듬해 1월 1일 ~ 2일로 연기하였고 11월 30일에 G마켓을 통해 예매를 시작하였다.[2] 이로서 2011년 새해 첫 스타트를 콘서트로 열게 된 샤이니의 첫 콘서트를 팬덤 사이에서는 떡국콘으로도 불리고 있는 데 이를 기점으로 팬덤 사이에서 매년 열리는 콘서트마다 저마다의 명칭을 짓는 전통이 이어지게 된다."
129,그가 대표로 있는 동안 당은 이라크 전쟁에 대한 반대하면서 1923년 이후로 가장 많은 의석수를 차지하였다. 그러나 2005년 총선 이후로 그의 지도력과 건강에 대해 문제가 제기되었으며 그해 12월에 당내에서 사퇴를 촉구하게 되었다. 2006년 1월 5일에 그는 ITN과 가진 인터뷰에서 알코올 중독이 있다는 사실을 고백하였으며 곧 대표직에서 물러날 것임을 말했다. 이틀 후 그는 대표직에서 물러났으며 후임 대표는 맨지스 켐벨로 결정되었다. 물러난 후 케네디는 백벤치에서 활동하게 되었지만 2010년 총선에서는 다시 자신의 지역구에 출마해 당선되었다. 2015년 총선에서는 스코틀랜드 국민당의 압승 속에 자신의 지역구에서도 압도적으로 패하였다. 몇 달 후 케네디는 알코올 중독과 관련된 출혈로 사망하였다.
130,패전 후 미군을 주체로 하는 연합국 군대에게 점령된 후 일본국 헌법에 의해 자위를 제외한 무력행사 및 포함외교가 금지된 자위대를 창설하여 오늘날에 이르고 있다. 고고학적 연구에 따르면 조몬 시대에 이미 환호집락의 존재가 확인되고 있다. 환호집락이란 마을 주위에 해자나 수로를 파서 방어기능을 높인 취락의 형태를 말한다. 또한 살상의 흔적이 있는 조몬 시대의 인골도 전국의 유적에서 발견되고 있다. 그러나 조몬 시대에 전면적인 전쟁이 있었는지 여부에 대해서는 연구자들 사이에 의견일치가 이루어지지 않고 있다.
131,"영국애견협회는 개의 품종을 크게 사냥개인가 그렇지 않은가로 나누었는데, 사냥개는 건독, 하운드, 테리어로 나누고, 개로는 유틸리티, 페스러럴, 토이 종을 포함한 7개 종으로 나누었다. 미국애견협회(미국 애견 협회)는 하운드, 스포팅, 테리어, 논스포팅, 워킹, 허딩, 토이, 미설레니어스 등 8개 종으로 구분하고 있다. 한국애견협회는 미국의 품종 구분에 한국종을 추가로 넣어 분류하고 있다. 한국종 가운데 진도개와 풍산개, 삽살개가 천연기념물로 지정되어 있고, 경주개 동경이, 제주개 등에 대한 천연기념물 추가 지정이 추진되고 있다. 개의 품종개량은 사람의 손을 거친 인위적 선택이기 때문에 적은 수의 개체군에서 많은 자손이 나오게 되는 경우가 있다. 이러한 유전자 병목 현상은 유전적 대립 형질가운데 일부를 사라지게 한다. 개의 품종개량에서는 최초의 교배 개체군 선택에서, 그리고 품종을 공인 받기 위해 특정한 특징만을 남기는 과정에서 유전자 병목 현상이 일어날 수 있다."
132,"당의 상징인 갈고리 십자(하켄크로이츠)는 1920년에 채용되었다. 당 깃발의 붉은색과 흑색은 '피와 대지’를 상징한다고 여겨진다. 붉은색, 검은색, 하얀색의 편성은 구 독일 제국 국기에 사용된 것으로서, 현재의 국기에는 없는 하얀색은 프로이센의 깃발을 나타낸다. 히틀러는, 빨강색은 사회적 이념을, 하얀색은 민족주의적 이념을, 하켄크로이츠는 고대 힌두교의 표를 증폭한 것이다. 이것은 아리아 민족의 승리를 위해서 싸우는 사명을 상징하고 있다고 여겨진다."
133,"또한 크로아티아와 보스니아 헤르체고비나에서는 복잡한 민족 문제로 내전은 큰 규모의 국제전으로 확대되다. 크로아티아에서는 크로아티아 내의 세르비아인과의 분쟁으로 여러 해 동안 전쟁이 이어졌고, 보스니아 헤르체고비나에서는 세르비아인·보스니아인·크로아티아인의 극심한 대립(보스니아 내전)으로 숱한 전투와 민족간의 대량 학살이 있었다. 한편 세르비아와 몬테네그로의 두 구성 공화국이 잔류한 유고슬라비아는 공식 국호를 유고슬라비아 연방으로 바꾸고, 국기와 국장도 새로 변경했다(대한민국에서는 '신유고 연방' 이라고 통용된다). 그러나 주민의 대부분이 알바니아인 계통의 코소보인인 코소보 자치주에서 독립 요구가 거세지자 이들 주민을 대량 학살하는 등의 만행이 이어지자, 미국을 비롯한 북대서양 조약 기구(NATO)의 회원국들은 평화 유지군을 보내 내전(코소보 전쟁)의 규모가 계속 확대되었다. 보스니아 내전과 코소보 내전에서 소수 민족의 학살에 관여했던 슬로보단 밀로셰비치 대통령은 2000년 실각, 밀로셰비치의 독재 정치가 종식되었고, 후에 그는 체포되어 헤이그에서 전범 재판을 받은 뒤 수감되었으며, 2006년 3월 11일에 옥사했다. 신 유고슬라비아 연방은 2003년 2월 4일, 국호를 '세르비아 몬테네그로 연방'으로 개명하고 세르비아와 몬테네그로의 자치권을 각각 확대하고 느슨한 형태의 연방으로 이행하기로 결정하였다. 다만, 국기와 국장, 국가는 그대로 존속시켰다."
134,"테르니 현의 현도이고, 네라 강 평야에 위치해 있다. 로마로부터 북동쪽 104km 거리에 있다. 선사 시대 때부터 사람이 거주하던 곳이며, 로마 제국 시절에는 도시가 건설되었다. 15세기에는 교황령에 속했다. 그 후 부근에서 생산되는 철을 이용하여 제철업이 발달하기 시작했고, 19세기 후반, 이탈리아 최초의 근대적인 철강공장이 들어서면서 이탈리아의 제철공업 중심지가 되었다. 제2차 세계대전 때 크게 파괴되었으나, 이후 복구되어 다시 중부 이탈리아의 중요한 공업도시가 되었다. 이러한 이유로 ""강철의 도시"", ""이탈리아의 맨체스터""라는 별명이 붙었다."
135,"최근 5년간 GDP는 배로 성장하였고, 1인당 GDP는 $3,025에서 $17,696（PPT GDP)에 이른다. 항저우는 많은 새로운 공업기업을 조성하였는데, 의학, 정보분야, 중공업 장비, 자동차부품, 전기가전 제품, 통신, 화학, 직물 등의 산업이 활발히 조성되었다. 도시바의 해외 유일의 PC 제작 공장이 여기에 있고, 삼성의 항주 & 소주 반도체 연구소도 이곳에 있다. 용정차는 시외의 용정(龙井)쪽에서 재배를 하며, 이곳 항저우의 특산물이다. 항저우는 시내에 운행하는 1, 4호선 지하철부터 외부에서 접근하는 국제공항, 시외버스, 철도역까지 다양한 접근 수단을 가지고 있다. 특히 한국에서 가려면 상하이를 통해서 가는데 상하이 남부역을 이용할 경우, 고속열차를 탈 경우에 한하여 1시간 40분 정도 후에 항주에 도착한다. 항저우는 창 강 델타 지역에 자리를 잡고 있으며 중화인민공화국 저장 성의 성도이다."
136,"연방 성립 이후부터 대의 민주주의를 기본으로 한 자유민주주의 정치 체계를 유지해오고 있다. 오스트레일리아는 6개의 주와 2개의 준주, 6개의 특별 지역으로 구성되어 있고 2,290만 정도의 오스트레일리아 인구는 대부분 동쪽 지역에 밀집되어 있으며, 도시화 비율이 세계에서 손꼽힐 정도로 높다. 오스트레일리아는 GDP가 세계에서 열두 번째로 높고, 1인당 GDP은 6번째로 높은 대표적 선진국이다. 군비지출(군사비 지출에 따른 나라 목록)은 12번째로 많으며, 인간 개발 지수에서 2위를 기록한 것을 비롯해, 오스트레일리아는 삶의 질, 건강, 교육, 경제적 자유, 시민적 자유와 권리의 보호 등 다양한 국가간 비교에서 높은 순위를 기록하고 있다. 오스트레일리아는 G20, OECD(경제 협력 개발 기구), WTO(세계 무역 기구), APEC(아시아 태평양 경제협력체), 국제 연합, 영국 연방, 앤저스(ANZUS)(태평양 안전 보장 조약), 태평양 제도 포럼에 가입되어 있다."
137,"리투아니아 대공국의 요가일라 대공(브와디스와프 2세)은 독일기사단 때문에 발트 해로 진출하지 못하던 폴란드와 동맹을 맺고 로마 가톨릭교회를 받아들이는 한편, 폴란드 여왕과 결혼했다. 폴란드-리투아니아 연합군은 1410년 7월 15일 그룬발트 전투(타넨베르크 전투 (1410년))에서 독일기사단을 대패시켰다. 이 전투 이후 기사단은 사모기티아 북서부를 빼앗기고 점차 세력을 상실했다. 16세기에 들어서는 38대 기사단장 알브레히트 폰 프로이센(1490-1568. 알브레히트 1세로서는 1525-1568) 아래 독일기사단은 폴란드와의 전투에서 패배했다. 이후 알브레히트 폰 프로이센은 마틴 루터와 만난 뒤 감명을 받아 루터교로 개종했고 프로이센에서 독일기사단을 축출한 뒤 독일기사단의 옛 영토에 프로이센 공국을 세웠다. 한편 축출된 독일기사단은  30년 전쟁(1618~1648)으로 더욱 영향력을 잃고 결국 폴란드 점령지역 대부분도 잃었다."
138,"가토 도모사부로(일본어: 加藤 友三郎 (かとう ともさぶろう), 1861년 2월 22일 ~ 1923년 8월 24일)는 일본제국 해군의 군인이자 정치가로, 제21대 내각총리대신을 지냈다. 1861년 히로시마 성하 오테 정(현 히로시마 시 나카 구 오테 정)에서 히로시마 번사 가토 시치로베(加藤七郎兵衛)의 삼남으로 태어나 번교·슈도 관(지금의 슈도 중학교·슈도 고등학교)에서 수학하고 일본 해군병학교를 졸업하였고, 청일 전쟁에 순양함 ""요시노"" 의 포술장으로서 종군해 황해 해전에서 활약하였고, 러일 전쟁 때에는 연합함대 참모장 겸 제1함대 참모장으로서 쓰시마 해전에 참전하였다. 그 후에는 해군 차관, 오진수부 사령장관, 제1함대 사령장관을 거쳐 1915년 제2차 오쿠마 내각의 해군 대신으로 취임하였다. 이후 그는 데라우치 마사타케(寺内正毅)·하라 다카시(原敬)·다카하시 고레키요(高橋是清)의 세 내각에서 해군 대신으로 유임하였다. 1921년 워싱턴 회의에는 일본 수석전권 위원으로 출석하였으며, 1922년 6월 22일 정우회의 지지를 받아 내각을 조직하였다."
139,"여신전생 페르소나 3는 페르소나 RPG 시리즈의 3번째 버전이다. 아틀라스가 제작,유통을 하였으며 플레이스테이션 2 폴렛폼 용으로 출시되었다. 페르소나 3는 일본에 2006년 7월 13일에 발매되었다. 그 후 북미와 유럽과 한국에도 출시되었다(페르소나 시리즈 중 한국에 한국어로 로컬라이징되어 출시된 것은 페르소나 3가 처음이다.). 페르소나 3 제작진들이 대한민국 언어 현지화에 특별한 관심이 있었다고 한다."
140,"방카슈랑스(프랑스어: Bancassurance)는 프랑스어로, 은행을 가리키는 'Banque'와 보험을 뜻하는 'Assurance'의 합성어이다. 넓은 의미에서는 은행이 보험사와 전면적인 제휴를 하거나, 은행이 보험사를 자회사로 두어 보험서비스를 제공하는 것을 말하지만, 좁은 의미에서는 단순히 은행이 보험상품을 일부 제공하여 마치 보험상품을 취급하는 대리점과 같은 역할을 하는 것을 가리킨다. 방카슈랑스를 통해 은행은 고객에게 예금, 대출, 투자상품 및 보험에 이르는 종합 금융 서비스를 제공하게 되며, 보험사는 판매 채널의 개선으로 인한 보험료 인하와 상품의 용이성을 통해 고객에게 더 좋은 상품을 제공할 수 있게 된다. 20세기 후반 이후, 미국이나, 유럽 대륙, 일본에서 시행하기 시작했으며, 대한민국도 2003년에 처음 도입하여 시행하였다. 오늘날의 방카슈랑스는 20세기 후반 이후, 많은 은행에서 지속적으로 추진하게 되면서, 2008년 종신보험과 자동차보험의 은행 판매 허용을 주 내용으로 하는 제4차 방카슈랑스 확대에 이르러 은행권과 보험권간 업무영역 다툼이 첨예하게 대립되는 사태에 이르고 있다. 간접투자자산 운용업법의 시행으로 은행과 보험사도 간접투자자산의 판매와 운용이 가능해졌다."
141,"문서를 삭제하거나 악의적인 사용자를 차단하는 것과 같은 활동은 커뮤니티 안에서 충분히 신뢰할 수 있다고 평가받아 로 선출 된 사용자가 실행한다. 한편 사용자 사이의 논쟁은 와 같은 기구를 통해 상호 조정을 이루기도 한다. 위키백과는 위키미디어 재단이 운영하는 위키미디어 프로젝트 가운데 하나이다. 위키미디어 프로젝트에는 위키백과 외에도 위키낱말사전, 위키책, 위키미디어 공용, 위키문헌, 위키인용집, 위키데이터 등이 있다. 모든 위키미디어 프로젝트는 자발적으로 참여하는 사용자들의 커뮤니티에 의해 운영되며 위키미디어 재단은 이들 프로젝트의 유지, 소프트웨어와 하드웨어의 관리, 사용자 커뮤니티에 대한 지원과 같은 일들을 담당한다."
142,제임스 와트는 사업 파트너 매슈 볼튼의 제안에 따라 1788년에 자신의 첫번째 조속기를 설계했다. 그것은 원추형 진자였으며 와트가 증기 기관 용도로 사용한 마지막 시리즈였다. 제임스 와트는 원심 조속기가 자신의 발명품이라고 결코 주장하지 않았다. 최초의 원심 조속기는 크리스티안 하위헌스가 고안했으며 17세기에 풍차에서 맷돌 사이의 거리와 압력을 조절하기 위해 사용되었다.[1]  와트가 만든 조속기의 거대한 동상은 영국 웨스트미들랜즈 주 스메스위크에 있다. 그것은 플라이볼 조속기로 알려져있다.
143,"2011년 3월 7일 스카파! 성인방송대상에서 신인 여배우상을 수상하였다. 하네다 아이( , 1989년 9월 22일 ~ )는 일본의 배우 및 AV 배우다. 프라임 에이전시 소속으로, 도쿄 도 출신이다. 2014년 4월 은퇴를 선언했다. 2008년에 데뷔하였으며, 2010년 2월 18일 ""예능인 하네다 아이 AVDebut""로 AV 데뷔하였다. 2011년 3월 7일 스카파!"
144,"하루는 알베르토를 부인들이 초대하여 조롱하며 어떻게 그 나이에 그 아름다운 과부를 좋아하냐고 묻는다. 알베르토는 이에, ""늙은 사람은 분별력이 있으니, 사랑하는 것이 더욱 진실한 것임이 틀림이 없으며, 지금 부인들은 채소를 먹을 때 영양가 있는 뿌리는 거들떠 보지 않고 잎과 줄기만 씹어 먹으며 평가를 하고 있으니, 사랑과 남자 또한 잘못 평가하고 있는 것이다""고 반론을 펼친다. 마르텔리노는 피렌체의 재주꾼으로 동료 두 명과 함께 독일의 한 마을에서 성골(聖骨,성인들의 유골)로 숭배받고 있는 하인리히의 시체를 구경하려고 한다. 그런데 너무 사람이 많아서 가까이 갈 수 없었으므로, 마르텔리노를 꾀를 내어 자신이 손발이 오그라든 신체장애인인 척하다 하인리히의 시체와 가까워지면 기적으로 걸을 수 있게 되는 척함으로써 사람들의 주목을 받으며 마음껏 구경한다. 그런데, 이 피렌체 재주꾼을 알아보는 사람이 있어서, 마르텔리노는 정체가 탄로나고, 속임수를 당한 것에 흥분한 군중들에게 몰매 맞아 죽기 직전에 이른다. 어쩔 수 없이, 마르텔리노의 동료들은 마르텔리노가 소매치기라고 거짓말을 해서 시장과 병사들이 마르텔리노를 연행해 오도록 해서 마르텔리노를 일단 구출한다. 마르텔리노가 소매치기라고 하자, 사람들은 저마다 돈을 도둑 맞았다고 하면서 돈을 내놓으라고 하고, 시장은 마르텔리노를 목매달아 죽이겠다고 협박한다."
145,"1956년 완공 이후로 많은 관광객이 찾고 있다. 1면 2선의 승강장이 있는 지상역이다. 화물전용 플랫폼이 있으며, 여객 전용 승차장 뒤에는 시멘트 수송 전용 화차가 대기한다. 영월역(寧越驛)은 강원도(강원도 (남)) 영월군 영월읍에 있는 태백선의 철도역이자, 충북지사의 그룹대표역이다. 역사는 한옥 형식으로 건설되었으며, 한국철도공사 선정 준철도기념물로 지정되었다. 1956년 완공 이후로 많은 관광객이 찾고 있다. 1면 2선의 승강장이 있는 지상역이다."
