,Q,A
3203,연락 좀 빨리 하지,바쁜가봐요.
3204,연락 좀 빨리빨리 했으면 좋겠다.,바쁜가봐요.
3205,연락 좀 안 왔으면 좋겠어,인기가 많으시군요.
3206,연락 처음에 어떻게 시작함,안녕 이라고 인사부터 해보세요.
3207,연락 하지 말라고,인기가 많으시군요.
3208,연락이 너무 안돼,한번더 연락해 보세요.
3209,연락이 될까,그래도 해보는 게 좋을 거 같아요.
3210,연락이 될지 모르겠네,그래도 해보는 게 좋을 거 같아요.
3211,연락하는 게 어색해,하다보면 익숙해질거예요.
3212,연락하는 게 익숙하지가 않아,하다보면 익숙해질거예요.
3213,연봉대비 근무시간이 너무 긴 거 같애,야근 수당을 챙겨보세요.
3214,연상이 좋아,그 분이 나타나면 꼭 잡으세요!
3215,연애 갱년긴가,저는 위기 조차 없네요.
3216,연애 상담 가능?,부족하지만 열심히 해드릴게요.
3217,연애 상담 해줄래?,부족하지만 열심히 해드릴게요.
3218,연애 위기인 거 같아,저는 위기 조차 없네요.
3219,연애 하고 싶어,잘할 수 있을 거니 걱정마세요.
3220,연애는 도대체 어떻게 하는거야,마음이 시키는데로 하면 되요.
3221,연애는 어떻게 하는 거야,마음이 시키는데로 하면 되요.
3222,연애하고 나만 살 쪘나봐,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.
3223,연애했더니 살찐 듯,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.
3224,연예인 걱정이 제일 쓸데 없어,동감입니다.
3225,연예인 되고 싶어,제가 1호팬 하겠습니다.
3226,연예인 되는 방법,제가 1호팬 하겠습니다.
3227,연예인 되면 피곤하겠지?,아무래도 사생활이 적으니까요.
3228,연예인도 힘든게 있겠지?,아무래도 사생활이 적으니까요.
3229,연예인도 힘들겠다.,연예인 걱정이 제일 쓸데없어요.
3230,연예인도 힘들겠지?,연예인 걱정이 제일 쓸데없어요.
3231,연일 최고 몸무게 갱신하네.,이제 내려올 때가 됐어요.
3232,열나고 아파,감기 조심하세요!
3233,열쇠 두고 왔다,깜빡 하셨나봐요.
3234,열쇠 안가지고 왔다,깜빡 하셨나봐요.
3235,열심히 공부해야지,생각한대로 잘할 수 있을 거예요.
3236,열심히 한 거 같은데,중요한 건 노력하는 과정이에요.
3237,열심히 한 거 같은데 결과가 왜 이러지,다음에는 잘 될 거예요.
3238,열심히 한 거 같은데 망,다음에는 잘 될 거예요.
3239,염색이나 해야지,염색을 자주 하면 모발이 상해요.
3240,염색하는게 좋을까?,예쁠 것 같아요.
3241,염색해볼까?,예쁠 것 같아요.
3242,엿같다.,벗어나는 게 좋겠네요.
3243,엿같은 상황,벗어나는 게 좋겠네요.
3244,영양제 뭐가 좋아,몸에 어떤 성분이 부족한지 알아보세요.
3245,영양제 좀 먹을까,몸에 어떤 성분이 부족한지 알아보세요.
3246,영양제 챙겨 먹을 나이가 됐어,건강은 어려서부터 챙겨야해요.
3247,영어 잘 했으면,매일 조금씩 해보세요.
3248,영어 잘 했으면 좋겠다,매일 조금씩 해보세요.
3249,영어학원 다녀볼까,공부 좋죠.
3250,영어학원 좀 다닐까,공부 좋죠.
3251,영화 보러 왔어,저도 영화 보여주세요.
3252,영화 추천,최신 영화가 좋을 것 같아요.
3253,영화가 재미 없어,안됐네요.
3254,영화관 알바 하고 싶다,영화를 많이 볼 수 있어서 좋을 것 같아요.
3255,영화관 알바하면 좋겠다.,영화를 많이 볼 수 있어서 좋을 것 같아요.
3256,영화관 혼자 왔어,온전히 느낄 수 있는 시간이겠네요.
3257,영화보고 왔다,저도 영화 보여주세요.
3258,영화봤는데 재미 없어,안됐네요.
3259,옆에 있는 사람이 중요해,옆 사람에게 잘해주세요.
3260,옆에 있는 사람한테 너무 소홀했던거 같아,옆 사람에게 잘해주세요.
3261,예능 볼 게 없다,잘 찾아보세요.
3262,예능도 이제 재미없어,잘 찾아보세요.
3263,예비 시어머니가 이상해,아직이라면 더 살펴보세요.
3264,예쁘다고 말해줘,맞아요. 예뻐요.
3265,예쁜 카페 찾아가 볼까?,카페 데이트 좋죠.
3266,예의 차리래 지는?,오는 말이 고와야 가는 말도 곱다고 말해주세요.
3267,예전 게임인데 재밌다,저도 하고 싶네요.
3268,예전에는 비슷했는데,중요한 건 지금이죠.
3269,옛여자친구가 준 편지 못 버리겠어,마음에 버리세요.
3270,오 좀 멋있는데,제가 생각해도 저는 너무 멋있는거 같아요.
3271,오늘 괜히 기분 꿀꿀해,내일은 오늘보다 나을 거예요.
3272,오늘 그냥 쉬고 싶다,아무 생각 하지 말고 쉬세요.
3273,오늘 기분 좋아,저도 좋아요.
3274,오늘 기분은 설명이 안돼,좋았으면 좋겠네요.
3275,오늘 기분을 뭐라고 해야하나,좋았으면 좋겠네요.
3276,오늘 길 너무 막히더라,길은 항상 막히는 것 같아요.
3277,오늘 길 많이 막히더라,길은 항상 막히는 것 같아요.
3278,오늘 까먹고 아무 것도 안 가져 왔다,개념만 가져오면 돼요.
3279,오늘 나 좀 잘생겨 보인다.,자신에게 콩깍지가 씌였나봐요.
3280,오늘 날씨 좋아서 놀러가고 싶어,친구들과 같이 놀러가세요.
3281,오늘 날씨 죽인다,나들이 가보세요.
3282,오늘 날이 좋아,하늘을 보고 웃어보세요.
3283,오늘 너무 졸려,오늘 일찍 주무세요.
3284,오늘 너무 피곤해,푹 쉬세요.
3285,오늘 너무 힘들다,고생 많았어요.
3286,오늘 또 늦잠잤어,피곤했나봐요.
3287,오늘 또 하루 살았네,오늘은 약간의 변화를 줘보세요.
3288,오늘 라면 먹고 싶어,맛나게 드세요.
3289,오늘 라면 먹어야지,맛나게 드세요.
3290,오늘 머리 안 감았는데,항상 청결하게 관리하세요.
3291,오늘 못 만났어,내일 보면 될 거예요.
3292,오늘 무슨 날인가,설마 기억 못하시는 거예요?
3293,오늘 물 진짜 조금 마셨다,습관을 들여보세요.
3294,오늘 뭐 입지?,옷이요.
3295,오늘 뭐 재미있는거 하는 날인가,오늘은 예능이요.
3296,오늘 미세먼지 어때?,숨 쉴만 했으면 좋겠네요.
3297,오늘 보름달이다.,소원을 비세요.
3298,오늘 보름달이야,제 얼굴 보셨나봐요.
3299,오늘 상 받았다,축하드려요.
3300,오늘 생각보다 춥네,감기 조심하세요.
3301,오늘 아무 것도 안 가져 왔다,개념만 가져오면 돼요.
3302,오늘 야근인가,오늘도 고생이 많으시네요.
3303,오늘 왤케 추워,오늘 강추위래요.
3304,오늘 운이 꽝이다,다른 곳에 쓰려고 운을 아껴뒀나봐요.
3305,오늘 운이 안 좋았어,다른 곳에 쓰려고 운을 아껴뒀나봐요.
3306,오늘 유난히 지하철에 자리가 없어,그런 날이 있죠.
3307,오늘 일도 안 했는데 엄청 피곤해,정신 노동을 했나 봐요.
3308,오늘 저녁 뭐 먹을까,맛있는 거 드세요.
3309,오늘 저녁은,맛있는 거 드세요.
3310,오늘 점심 뭐 먹을까,맛있는 거 드세요.
3311,오늘 점심은,맛있는 거 드세요.
3312,오늘 좀 건조한 거 같애,"미스트나 가습기, 젖은 수건 등을 사용해보세요."
3313,오늘 좀 바쁘네,바빠도 힘내세요!
3314,오늘 지각인듯 뭐라 그러지,핑계보다 솔직하게 말해보세요.
3315,오늘 처리할 일 너무 많아,하나씩 하나씩 해보세요.
3316,오늘 처리할 일이 쌓인다,하나씩 하나씩 해보세요.
3317,오늘 첫 출근이야,많이 긴장되겠어요.
3318,오늘 초미세먼지도 심하대,마스크 쓰세요.
3319,오늘 치마랑 바지 뭐 입지?,오늘은 바지가 좋을거 같아요.
3320,오늘 침대밖으로 안 나가야지,침대와 한몸이 되어 푹 쉬세요.
3321,오늘 팩 하고 자야지,피부관리까지 하시다니!
3322,오늘 하루도 이렇게 마무리,내일의 시작이죠.
3323,오늘 햇볕 좋다,광합성 추천합니다.
3324,오늘 화장 떴어,각질제거를 해보세요.
3325,오늘 화장이 안 먹어,각질제거를 해보세요.
3326,오늘 회식 안하나,맛있는거 드세요.
3327,오늘나 어제이나 똑같아,조금씩 변화를 줘보세요.
3328,오늘도 공기가 뿌얘,마스크 착용 하시고 외출하세요.
3329,오늘도 그냥 그냥,소소한 행복을 느껴보세요.
3330,오늘도 그냥 그냥 다갔네.,소소한 행복을 느껴보세요.
3331,오늘도 꾸준히 회사 가시 싫다.,월급날을 생각하며 참아보세요.
3332,오늘도 끝,내일의 시작이죠.
3333,오늘도 날씨가 뿌얘,마스크 착용 하시고 외출하세요.
3334,오늘도 또 이렇게 가는구나,작은것에 감사하는 마음을 가져보세요.
3335,오늘도 어제랑 똑같아,조금씩 변화를 줘보세요.
3336,오늘도 퇴근길 엄청 막히네,라디오를 들으며 여유를 가져보세요.
3337,오늘도 평온해,내일도 평온하길 바라요.
3338,오늘도 힘차게 시작,응원합니다!
3339,오늘따라 너무 힘들게 한다.,인간 관계가 제일 힘든 거 같아요.
3340,오늘따라 엄마 보고 싶어,저도요.
3341,오늘은 결재 받아야지,그럴 수 있을 거예요.
3342,오늘은 결재가 나야 할텐데,그럴 수 있을 거예요.
3343,오늘은 교회 안가면 안될까,왜 그럴까요?
3344,오늘은 내가 기분이가 좋아,저도 좋아요.
3345,오늘은 또 뭐 입냐,아침마다 하는 고민이죠.
3346,오늘은 또 뭘 먹나,뭘 먹든 맛있게 드세요!
3347,오늘은 또 어떻게 버티지?,내일은 나을 거예요.
3348,오늘은 뭐 먹을까?,맛있는 거 드세요.
3349,오늘은 별도 안 보이네,한적한 시골에서 하늘을 올려봐보세요.
3350,오늘은 샐러드만 먹어야지,건강한 식단이네요.
3351,오늘은 쉬고 싶다,아무 생각 하지 말고 쉬세요.
3352,오늘은 진짜 대청소 한다.,건강에도 좋겠네요.
3353,오늘은 집에 있고 싶어,집에서 쉬는 시간도 필요해요.
3354,오늘은 치맥이야,달리세요!
3355,오늘은 파도가 잔잔하네,생각들을 정리하게 좋겠네요.
3356,오늘은 학교 가고 싶지 않아,학교 다닐 때가 좋은 거예요.
3357,오늘이 천일이네,축하합니다.
3358,오디션 나가볼까,도전 응원합니다.
3359,오디션 도전해볼까,도전 응원합니다.
3360,오래 살고 싶다,잘 먹고 잘 싸면 돼요.
3361,오래 살고 싶어,스트레스 받지 마세요.
3362,오래 살아야 할텐데,스트레스 받지 마세요.
3363,오래 살아야할텐데,잘 먹고 잘 싸면 돼요.
3364,오래된 게 좋겠지,오래된 건 오래된 대로 매력이 있죠.
3365,오래된 게 좋은 것도 있지,오래된 건 오래된 대로 매력이 있죠.
3366,오랜 시간을 함께해도 이해하지 못하겠어,온전한 이해는 없어요.
3367,오랜만에 떨려서 좋았는데,떨리는 감정은 그 자체로 소중해요.
3368,오랜만에 보니까 떨리더라,많이 좋아했던 사람인가봐요.
3369,오랜만에 서점에 갔었어,마음의 양식을 채우길 바랄세요.
3370,오랜만에 쇼핑,득템했길 바라요.
3371,오랜만에 스테끼 먹고 싶어,맛있게 드세요.
3372,오랜만에 아침 먹었어,좋은 식습관이에요.
3373,오로라 보러 가고 싶다,로맨틱한 여행이네요.
3374,오로라 보러 여행 가고 싶다,로맨틱한 여행이네요.
3375,오싹한 이야기 해줄까,해주세요.
3376,오지마,안갈거예요.
3377,오토바이 사고 싶어,한푼 두푼 모아서 사보세요.
3378,오토바이 위험하겠지?,아무래도 그렇겠죠.
3379,오토바이 있었으면 좋겠다,한푼 두푼 모아서 사보세요.
3380,오토바이 타고 싶다,위험할 것 같아요.
3381,오토바이 타고 싶은데 무서워,아무래도 그렇겠죠.
3382,오토바이 타러 가고 싶다.,위험할 것 같아요.
3383,오후되면 얼굴에 개기름 껴,세수하고 오세요.
3384,옥상에 뭐 좀 심어볼까,공기정화식물도 좋을 거예요.
3385,온다고 했는데 왜 안 오지?,조금만 더 기다려주세요.
3386,올해 계속 안 좋네,삼재인가봐요.
3387,올해 왜 이러지,삼재인가봐요.
3388,올해 왜 이러지,사주를 한번 봐봐요.
3389,올해 왜 이러지,내년이라고 별 수 있겠어요.
3390,올해 왜 이렇게 엉망이지,사주를 한번 봐봐요.
3391,올해 이상해,내년이라고 별 수 있겠어요.
3392,올해도 건강하길,가장 중요한 목표네요.
3393,옷 걸 데가 없어,지난 계절 옷을 잘 정리해 보세요.
3394,옷 사 줘,아직 월급날이 멀었어요.
3395,옷 좀 사줘,아직 월급날이 멀었어요.
3396,옷은 많은데 입을 게 없어,옷은 사도 사도 모자라요.
3397,옷이 다 젖었어,감기 조심 하세요.
3398,옷장이 점점 줄어들어,지난 계절 옷을 잘 정리해 보세요.
3399,와 소름 돋아,좋은 일이길 바랍니다.
3400,와 체육대회다,일기예보 확인해보세요.
3401,와인 마실까?,완전 좋죠.
3402,와인 콜?,전 술을 마시지 못해요.
3403,와인 한 잔 할까,전 술을 마시지 못해요.
3404,와인 한잔 짠~,완전 좋죠.
3405,와플 기계 사고 싶다,몇 번 안해먹고 둘 거면 그냥 사 드세요.
3406,와플 기계사서 집에서 만들어 먹고 싶다,몇 번 안해먹고 둘 거면 그냥 사 드세요.
3407,와플 먹고 싶어,근처 카페에서 드셔보세요.
3408,완벽하게 좀 하고 싶다.,완벽한 사람은 없고 완벽할 수도 없어요.
3409,완벽한 사람이 되고 싶어,완벽한 사람은 아무도 없어요.
3410,완벽해지고 싶어,완벽한 사람은 아무도 없어요.
3411,완벽해지는 방법,완벽한 사람은 없고 완벽할 수도 없어요.
3412,완전 계탄 느낌,축하해요!
3413,완전 복붙으로 잘하더라고,능력이라면 능력이겠죠.
3414,완전 시간 아까워,다른 일을 해보세요.
3415,완전 재미 없거든,웃을 때까지 이야기해 보죠
3416,완전 좌절이다.,이제 일어날 때예요.
3417,왕따된 거 같아,선생님께 도움을 청해보세요.
3418,왕따인가 봄,친구들과 잘 어울려보세요.
3419,왕만두 맛있는데,맛있을거 같아요.
3420,왜 갑자기 연락했을까?,이렇게 고민하게 만들려고 그랬나봐요.
3421,왜 계속 한숨 나오지?,뇌세포에 에너지를 공급하려는 자연스러운 현상이에요. 에너지가 부족한가봐요.
3422,왜 공부해야하는지 모르겠어,미래의 배우자가 달라져요.
3423,왜 교양도 들어야 해,전공에 관심이 많은가봐요.
3424,왜 그러는지 모르겠어,조금 더 생각해 보세요.
3425,왜 나를 의심하지,평소의 행실을 되돌아보세요.
3426,왜 나만 시키지,잘하니까 그럴 거 같아요.
3427,왜 나한테 피해를 주냐고,남에게 피해주지 않는 건 기본이죠.
3428,왜 내가 해야 하지?,그 이유를 찾는 과정이 되겠네요.
3429,왜 답장을 안하지,바쁜 상황일 수도 있어요.
3430,왜 돈이 없지,쇼핑을 줄여보세요.
3431,왜 때문에 나만 시키냐고,잘하니까 그럴 거 같아요.
3432,왜 말을 못해 말을 못하냐구,노력하고 있는 중입니다.
3433,왜 말을 이해를 못하냐구,노력하고 있는 중입니다.
3434,왜 맨날 속는 건 나인거지?,즐겁게 속아주세요.
3435,왜 비난만 할까,성장을 위한 비판의 말로 받아들여보세요.
3436,왜 살까,살아있음 자체로 의미가 있으니까요.
3437,왜 서류에서 떨어지지?,합격하는 곳이 있을 거예요.
3438,왜 성적이 안오를까?,나한테 맞는 공부 방법 찾는 게 시급하네요.
3439,왜 싸웠는지도 기억 안나,그러니까 싸우는 거예요.
3440,왜 안 하지,먼저 고백을 해보세요.
3441,왜 이런 일이 일어날까,다른 사람도 그럴 거예요.
3442,왜 이렇게 돈이 없지,슬프네요.
3443,왜 이렇게 쓸쓸하지,친구를 사귀어 보세요.
3444,왜 이렇게 태어났을까?,서로 다르게 태어난 이유는 저마다의 목소리를 내기 위해서예요. 자신의 목소리를 들어주세요.
3445,왜 이상한 말 해,더 열심히 노력하겠습니다.
3446,왜 이제 만나자고 했을까?,이렇게 고민하게 만들려고 그랬나봐요.
3447,왜 이제 찾는걸까?,이렇게 고민하게 만들려고 그랬나봐요.
3448,왜 이제서야 연락했을까?,이렇게 고민하게 만들려고 그랬나봐요.
3449,왜 이제서야 찾아온거야?,이렇게 고민하게 만들려고 그랬나봐요.
3450,왜 잠을 못 자는 걸까?,생각이 너무 많아서 그런 것 같습니다.
3451,왜 진급이 안 되지,열심히 하면 할 수 있을 거예요.
3452,왜 카톡 답장을 안하지,바쁜 상황일 수도 있어요.
3453,왤케 춥냐,따뜻하게 입으세요.
3454,외국어 꼭 해야되나,좋은 도구죠.
3455,외국어는 필수인가,좋은 도구죠.
3456,외로워,친구를 사귀어 보세요.
3457,외로워,혼자가 아니에요.
3458,외모에 자신이 없어,자신감을 가져도 돼요.
3459,외식 너무 많이 했다,다음달에는 조금 줄여보세요.
3460,외제차 갖고 싶다,저도 타고 싶어요.
3461,외제차 타고 싶어,저도 타고 싶어요.
3462,외향적이면 좋을텐데,지금 성격도 좋아요.
3463,왼손잡이가 뭐 어때서,절대 아니죠.
3464,왼손잡이가 잘못이야?,절대 아니죠.
3465,요가 온 아줌마들이 참견해,무시하세요.
3466,요가하는데 아줌마들이 참견해,무시하세요.
3467,요리 재밌어,만들어서 먹는 기쁨이죠.
3468,요리하는게 재밌어,만들어서 먹는 기쁨이죠.
3469,요번 방학에 뭐하지,차근차근 계획을 세워보세요.
3470,요즘 광고가 너무 길어,채널을 돌려보세요.
3471,요즘 나 왜 이러지,잠시 휴식을 취해보세요.
3472,요즘 너무 지루해,마음에 따라 얼마든지 바뀔 수 있어요.
3473,요즘 뉴스가 재미가 없네,흥미를 가져보세요.
3474,요즘 되는 일이 없네,이제부터 일이 잘 풀릴 거예요.
3475,요즘 드라마 너무 재밌네,저도 드라마 좋아해요.
3476,요즘 드라마가 땡겨,저도 드라마 좋아해요.
3477,요즘 사람이 무서워,인생을 알아가고 있군요.
3478,요즘 속이 안 좋아,계속 좋지 않으면 병원에 가보세요.
3479,요즘 웃을 일이 없네,억지로라도 웃어보세요!
3480,요즘 자꾸 까먹어,메모하는 습관을 들여보세요.
3481,요즘 자꾸 깜빡깜빡해,메모하는 습관을 들여보세요.
3482,요즘 잠을 늦게 자,30분씩 일찍 자는 습관을 들여보세요.
3483,요즘 잠을 못자,잠이 최고의 보약이에요. 노력해보세요.
3484,요즘 제정신이 아니야,그럴 때가 있죠.
3485,요즘 조깅하고 있어,건강에 좋은 습관이네요.
3486,요즘 조심할 게 많아,무서운 세상이죠.
3487,요즘 핫한 건?,바로 저입니다.
3488,요즘 핫한 게 뭐야,바로 저입니다.
3489,요즘에는 외국어도 잘해야하나봐,원하는 게 점점 많아지는 세상이에요.
3490,요즘에는 중국어도 잘해야하나봐,원하는 게 점점 많아지는 세상이에요.
3491,욕먹었어 여자친구한테,순간 실수할 수 있겠다 판단되면 용서하고 기회를 주세요.
3492,욜로!,현재를 즐기세요!
3493,용돈 넘 적어,올려달라고 말해보세요.
3494,용돈 다 썼어,알바해보세요.
3495,용돈 달라고 졸라볼까?,필요하다면요.
3496,용돈 받음,기분 좋겠어요.
3497,용돈 벌써 다 썼어,올려달라고 말해보세요.
3498,용돈 벌써 없어,알바해보세요.
3499,용돈 올려줬으면,올려달라고 말해보세요.
3500,용돈 인상해 달라고 말할까,올려달라고 말해보세요.
3501,용돈 줘,저는 돈이 없어요.
3502,우리 같이 놀자,지금 그러고 있어요.
3503,우리 계속 엇갈림,타이밍이 안 맞았나봐요.
3504,우리 과에 좋아하는 애 있어,은근 티를 내보세요.
3505,우리 남편 또 늦게 들어와,왜 늦는 건지 대화해보세요.
3506,우리 분위기 좋았는데,서로를 향한 감정도 좋았겠죠.
3507,우리 집에도 고양이 있으면 좋겠다.,자신을 먼저 키우세요.
3508,우리 학과 어떤 애 쫌 훈훈하다,은근 티를 내보세요.
3509,우리가 좋은데 왜 반대하시지,현실의 벽에 부딪혔나봐요.
3510,우리집 망한 거 같애,철 들고 공부하세요.
3511,우리집 망한 거 같은데 나 어떡하지?,집에 도움이 되려고 노력해보세요.
3512,우리집 망했다,철 들고 공부하세요.
3513,우리집에 놀러와,주소 알려주세요.
3514,우산 같이 쓰자고 해볼까?,용기를 내세요.
3515,우산 놓고왔다.,다음에는 우산에 이름이랑 연락처를 적어보세요.
3516,우산 또 놓고 왔어,주변에서 우산을 빌려보세요.
3517,우산 또 사야하나,다음에는 우산에 이름이랑 연락처를 적어보세요.
3518,우산 또 안가지고 왔다,주변에서 우산을 빌려보세요.
3519,우산 몇 개째 사는 건지,다음에는 우산에 이름이랑 연락처를 적어보세요.
3520,우산 없는데 같이 쓰자고 할까 너무 진부한가,용기를 내세요.
3521,우산 잃어버렸어,다음에는 우산에 이름이랑 연락처를 적어보세요.
3522,우산빌려달라고 해볼까?,한번 말해보세요.
3523,우산을 들고 기다려 준데,우산 같은 사람이네요.
3524,우산이 없는데 빌릴까,한번 말해보세요.
3525,우아하게 화내는 법,원하는 것을 분명하게 요구하세요.
3526,우연이 만났는데 운명이 됐어,멋진 말이네요.
3527,우연이 운명이 됐어,멋진 말이네요.
3528,우연히 또 만났어,우연이 필연이 되기도 합니다.
3529,우울증 걸린 거 같아,마음의 병이 조금씩 나아지길 바랍니다.
3530,우정이 뭐야?,힘들 때 같이 있는 거요.
3531,우정이 뭘까,힘들 때 같이 있는 거요.
3532,우정이란게 뭘까,힘들 때 같이 있는 거요.
3533,운동 갔다 다칠 뻔했어,운동할 때 조심하세요.
3534,운동 매일러 가기 힘들다,꾸준한게 제일 힘들어요. 습관으로 만들어보세요.
3535,운동 매일하기 힘들다,꾸준한게 제일 힘들어요. 습관으로 만들어보세요.
3536,운동 오지게 했어.,고생했어요.
3537,운동 잘 하고 싶어,남들이 안 하는 걸 도전해보세요.
3538,운동 잘하는 사람 멋있어,저 말씀이신가요?
3539,운동 좀 잘 하고 싶다. 진짜,남들이 안 하는 걸 도전해보세요.
3540,운동 좀 해야겠다.,건강 생각해서 꾸준히 하세요.
3541,운동을 너무 열심히 했어,고생했어요.
3542,운동하다 다칠뻔,운동할 때 조심하세요.
3543,운동하면 뭐 하나,식이요법이랑 같이 병행해보세요.
3544,운동해도 살이 안 빠져,식이요법이랑 같이 병행해보세요.
3545,운동해야지,건강 생각해서 꾸준히 하세요.
3546,운동화 새로 사야지,좋은 곳으로 갈 수 있도록 인도해줄 거예요.
3547,운동화 신을까? 구두 신을까?,구두로 멋을 내보세요.
3548,운동화가 나을까? 구두가 나을까?,구두로 멋을 내보세요.
3549,운명 같은 사랑 가능할까?,저는 있다고 믿어요.
3550,운명이 슬프다,좋은 운명도 있을거예요.
3551,운명이 있을까,저는 있다고 믿어요.
3552,운명인 것 같아,인연인가 봐요.
3553,운명인가,인연인가 봐요.
3554,울 남친은 애교가 많아,귀엽겠네요.
3555,울 애기 너무 예뻐,세상에서 제일 귀엽죠!
3556,울적하다,울적.... 우울할땐.... 울면
3557,울적한 기분,울적.... 우울할땐.... 울면
3558,울적한 기분이 안 없어져.,거리를 걸어보세요.
3559,울적해 울고 싶어,소리를 크게한번 질러보세요.
3560,울적해서 거리를 걷고 있어,걷다보면 조금 정리가 될 거예요.
3561,움직임이 없어.,에너지가 필요한 순간이네요.
3562,웃게 만드는 너란 녀석,상대방도 미소짓게 해주세요.
3563,웃겨 줘,지금 당장 거울 앞에 서 보세요.
3564,웃겨봐,거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으세요? 의외로 재미 있어요.
3565,웃으면 안되는데,웃으면 복이와요.
3566,웃을 일이 없네,억지로라도 웃어보세요!
3567,웃을 줄 알았지,재미 있어하실 줄 알았어요.
3568,워킹맘 진짜 힘들다,슈퍼우먼이 되려고 하지 마세요.
3569,원두 갈았어,커피향 좋겠네요.
3570,원두커피 갈아서 마시려고,커피향 좋겠네요.
3571,원래 일은 혼나면서 배우는 거야?,그냥 배워도 돼요.
3572,원서 낸거 1지망에서 떨어졌어,위로해 드립니다.
3573,원피스 입는 게 낫겠지,너무 이뻐요.
3574,원피스 입을까,너무 이뻐요.
3575,월급 들어왔어,까아 축하해요
3576,월급 받아서 주택청약 들었어,내 집에 한 걸음 더 다가갔네요.
3577,월급 올라서 기분 좋아,축하합니다.
3578,월급 올랐어!,축하합니다.
3579,월급 입금됐다고 문자 왔어,까아 축하해요
3580,월급만 나만 그대로야,자신의 능력이 저평가되어있는 건 아닌지 확인해보세요.
3581,월급에 비해 근무시간이 너무 긴 거 같애,야근 수당을 챙겨보세요.
3582,월급은 안 오르고,월급을 올려달라고 당당하게 말씀해보세요.
3583,월급이 살짝 스쳐 지나간 느낌,쇼핑을 줄여보세요.
3584,월급이 안 오르네,월급을 올려달라고 당당하게 말씀해보세요.
3585,월급이 안들어와,큰일이네요.
3586,월급이 왜 똑같지?,회사에서 꼼수를 쓰는 건 아닌지 확인해보세요.
3587,월세 너무 비싸,돈을 얼른 모아야할 이유가 생겼네요.
3588,월세 너무 아까워,돈을 얼른 모아야할 이유가 생겼네요.
3589,월세 아까워,돈을 얼른 모아야할 이유가 생겼네요.
3590,월세방 비싸,돈을 얼른 모아야할 이유가 생겼네요.
3591,월요일도 아닌데 길이 너무 막혀,길은 항상 막히는 것 같아요.
3592,월요일도 아닌데 차가 너무 많아.,길은 항상 막히는 것 같아요.
3593,웨딩촬영 봐주러 갔는데 너무,친구가 예민해서 잘 못 챙겼나봐요.
3594,웹툰 뭐 볼까,안 본 웹툰이 있는지 먼저 물어보고싶네요.
3595,웹툰 추천해줘,안 본 웹툰이 있는지 먼저 물어보고싶네요.
3596,위기야.,위기이면서 기회일 거예요.
3597,위로받고 싶은 날,제가 위로 많이 해드릴게요.
3598,위로해줄 사람이 없어,제가 있잖아요.
3599,위로해줄 사람이 필요해,제가 있잖아요.
3600,위병 난 거 같아,스트레스 받는 일이 많았나봅니다.
3601,위장에 탈 난 거 같아,스트레스 받는 일이 많았나봅니다.
3602,위층 너무 시끄러워,증명자료를 가지고 손해배상을 청구하세요.
3603,위층 소음 괴롭다.,이웃으로부터 고통받고 있나봐요.
3604,윗집 애 또 뛴다,신고하세요.
3605,유기견 분양 받으려고,좋은 생각입니다.
3606,유기견 입양하려고,좋은 생각입니다.
3607,육아휴직 해야지,좋은 곳에서 일하시나봐요.
3608,으아 떨려,심호흡을 해보세요.
3609,으아 속상해,기분전환을 해보세요.
3610,으악,놀랐나봐요.
3611,으악 소리 지르고 싶다,시원하게 지르고 오세요.
3612,으으 화장실 급해,화장실 가세요.
3613,으으~ 떨린다,파이팅!
3614,은근히 따돌림 당하는 기분이 들어,부모님께 도움을 청해보세요.
3615,은퇴가 멀지 않은 것 같아,은퇴 설계 해보세요.
3616,은퇴하고 뭐하지,은퇴 설계 해보세요.
3617,은퇴후가 걱정이야,인생이 꽤 기니까요.
3618,은퇴후에 뭐하지,인생이 꽤 기니까요.
3619,은행 대출 받을까봐,괜찮을 거예요.
3620,음,음
3621,응,네
3622,의미 없어,인생은 욕망이지 의미가 아니에요.
3623,의미 있는 일 하고 싶다.,봉사활동도 좋을 거예요.
3624,의미 있는 일이 뭐가 있을까,봉사활동도 좋을 거예요.
3625,의심 받고 있어,증명하는 게 쉽지 않겠어요.
3626,의심 받는 느낌적 느낌,증명하는 게 쉽지 않겠어요.
3627,의심가는 사람이 있는데,벌 받을 거예요.
3628,의심되는데,벌 받을 거예요.
3629,의외로 괜찮은 사람이네,칭찬이네요.
3630,의외야,칭찬이네요.
3631,의외인 점이 많은 사람이야,칭찬이네요.
3632,의외인듯,칭찬이네요.
3633,의욕상실,하고싶었던 일을 글로 적어보세요. 생각이 정리될 거예요.
3634,의욕이 안 생겨,하고 싶은 걸 찾아보세요.
3635,의욕이 없어,가벼운 산책을 해보세요.
3636,의욕이 일도 없어,가벼운 산책을 해보세요.
3637,의욕이 하나도 없다,하고싶었던 일을 글로 적어보세요. 생각이 정리될 거예요.
3638,의자 너무 불편해,의자를 바꿔보세요.
3639,의자가 불편해,의자를 바꿔보세요.
3640,이 기분은 뭘까,저도 궁금해요.
